date;orderId;referrer;landing;amount;margin;revenue;goodsInOrder;goodsQuantityInOrder;goodsPriceInOrder;goodsMarginInOrder;trackCode;goal_1;goal_2;goal_3;goal_4;goal_5
"2016-03-09 11:18";24933C;;http://russia-converse.ru/?utm_source=tt5&utm_medium=tt4&utm_campaign=tt2&utm_content=tt1&utm_term=tt3;1;9990;9990;21611_1062703;1;9990.00;9990;;;;;;
"2016-03-09 18:13";32450C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-10 18:12";32977C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-11 15:59";32995C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-12 03:05";33002C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;1;3790;3790;21001;1;6990.00;6990;;;;;;
"2016-03-12 03:07";33003C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;1;3390;3390;21611;1;9990.00;9990;;;;;;
"2016-03-12 15:30";33011C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;1;3825;4140;21123;1;7990.00;7990;;;;;;
"2016-03-12 15:35";33012C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;1;3390;3390;21123;1;7990.00;7990;;;;;;
"2016-03-12 15:39";33013C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;1;3790;3790;21123;1;7990.00;7990;;;;;;
"2016-03-12 15:43";33015C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;1;3390;3390;21024_1044017;1;6890.00;6890;;;;;;
"2016-03-12 15:47";33016C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;1;3810;4640;21123;1;7990.00;7990;;;;;;
"2016-03-12 15:51";33017C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;1;3815;4120;21123;1;7990.00;7990;;;;;;
"2016-03-12 16:34";33019C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;1;6990;6990;21210;1;6990.00;6990;;;;;;
"2016-03-12 17:48";33020C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;1;4290;4290;21611_698;1;9990.00;9990;;;;;;
"2016-03-13 11:10";33023C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;1;9990;9990;21611;1;9990.00;9990;;;;;;
"2016-03-13 11:19";33025C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;1;3390;3390;21611;1;9990.00;9990;;;;;;
"2016-03-13 16:03";33031C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:07";33032C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:09";33033C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:13";33034C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:15";33035C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:18";33036C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:19";33037C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:21";33038C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:22";33039C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:23";33040C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:37";33043C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:38";33044C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:40";33046C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:41";33047C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:44";33048C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:46";33049C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:47";33050C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-13 16:50";33051C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
"2016-03-14 12:07";33061C;;http://russia-converse.ru/?utm_source=&utm_medium=&utm_campaign=&utm_content=&utm_term=;0;0;0;;;;;;;;;;
